variety,count,avg score,avg price
Agiorgitiko,56,86.98214285714286,23.767857142857142
Petit Manseng,54,89.94444444444444,31.127659574468087
Malbec-Cabernet Sauvignon,54,88.38888888888889,42.592592592592595
Moscatel,54,88.16666666666667,33.254901960784316
Provence red blend,53,90.01886792452831,30.0
Syrah-Grenache,53,88.73584905660377,29.01923076923077
Semillon-Sauvignon Blanc,53,88.47169811320755,29.557692307692307
Vidal Blanc,51,86.94117647058823,34.666666666666664
Alsace white blend,50,90.32,29.895833333333332
Grenache-Syrah,50,88.58,31.04
Trebbiano,50,87.08,23.11904761904762
Furmint,48,89.83333333333333,47.791666666666664
Alicante Bouschet,48,89.35416666666667,31.32608695652174
Tempranillo-Cabernet Sauvignon,48,86.45833333333333,42.854166666666664
Sylvaner,47,88.42553191489361,22.525
Lambrusco,47,84.68085106382979,15.55
Gros and Petit Manseng,46,89.78260869565217,20.81578947368421
Pecorino,46,87.23913043478261,19.925
Weissburgunder,44,89.5,25.944444444444443
Malvasia,43,86.86046511627907,24.85
Prugnolo Gentile,42,88.66666666666667,47.53125
Cabernet Sauvignon-Carmenère,41,87.1951219512195,24.384615384615383
Müller-Thurgau,41,86.7560975609756,19.78048780487805
Pinot Meunier,40,89.15,47.58974358974359
Graciano,40,88.6,48.46153846153846
Assyrtico,39,88.05128205128206,23.153846153846153
Pedro Ximénez,38,89.94736842105263,32.5
Shiraz-Viognier,38,89.57894736842105,53.18421052631579
Cinsault,38,88.92105263157895,26.89189189189189
Frappato,38,87.60526315789474,22.542857142857144
Traminer,37,87.91891891891892,23.78125
Shiraz-Cabernet Sauvignon,37,87.27027027027027,21.37142857142857
Silvaner,35,88.54285714285714,49.03030303030303
Encruzado,34,89.79411764705883,23.862068965517242
Carricante,34,89.76470588235294,40.205882352941174
Muscat Canelli,34,87.61764705882354,20.735294117647058
Lemberger,34,87.32352941176471,20.794117647058822
Fernão Pires,34,87.29411764705883,20.928571428571427
Gelber Muskateller,33,88.78787878787878,26.3
Claret,33,88.18181818181819,50.06060606060606
Merlot-Cabernet Sauvignon,33,87.45454545454545,32.774193548387096
Syrah-Cabernet Sauvignon,32,89.4375,45.21875
Moschofilero,32,88.15625,15.21875
Saperavi,32,88.125,21.21875
Garnacha Blanca,32,86.03125,18.71875
Chardonnay-Viognier,32,85.5,17.166666666666668
Chenin Blanc-Chardonnay,30,88.0,15.56
Castelão,30,87.26666666666667,16.724137931034484
Xinomavro,30,86.66666666666667,22.862068965517242
Rkatsiteli,30,86.5,21.862068965517242
Tempranillo-Garnacha,30,85.06666666666666,12.266666666666667
Provence white blend,29,87.93103448275862,23.074074074074073
Tannat-Cabernet,28,90.57142857142857,21.0
Zibibbo,28,89.5,37.68
Teroldego,28,89.10714285714286,31.892857142857142
Carignane,28,88.75,27.296296296296298
Cannonau,28,87.85714285714286,25.0
Loureiro,28,87.32142857142857,12.869565217391305
Catarratto,28,86.78571428571429,20.16
Inzolia,28,86.0,15.04
Petite Verdot,27,88.51851851851852,41.592592592592595
Touriga Nacional-Cabernet Sauvignon,27,88.0,13.56
Insolia,27,86.44444444444444,16.681818181818183
Aligoté,27,86.33333333333333,19.307692307692307
Picolit,26,91.15384615384616,70.0909090909091
Baga,26,90.23076923076923,36.92
Auxerrois,26,88.76923076923077,22.347826086956523
Cabernet Sauvignon-Shiraz,26,88.57692307692308,30.08695652173913
